patent_id,title,year,patent_type,num_claims,grant_lag_days,inventor_names,inventor_countries,company_names
PP37050,Phalaenopsis plant named ‘Keynote’,2025,plant,1,,René Schoone,NL,FLORICULTURA B.V.
PP37052,Dahlia plant named ‘LeeAnn's BA67C’,2025,plant,1,,LeeAnn Huber,US,Coseytown Flowers llc
PP37054,Anthurium plant named ‘AN2198403’,2025,plant,1,,Jan Van Dijk,NL,ANTHURA B.V.
PP37055,Caladium plant named ‘UF-15-30’,2025,plant,1,,Zhanao Deng,US,"Florida Foundation Seed Producers, Inc."
PP37056,Caladium plant named ‘UF-R301’,2025,plant,1,,Zhanao Deng,US,"Florida Foundation Seed Producers, Inc."
PP37057,Caladium plant named ‘UF-15-23’,2025,plant,1,,Zhanao Deng,US,"Florida Foundation Seed Producers, Inc."
PP37059,Panicum plant named ‘Half Pint’,2025,plant,1,,Hans A Hansen,US,"Walters Gardens, Inc."
PP37062,Calibrachoa plant named ‘Docalalkotibu’,2025,plant,1,,Arjan Koot,NL,Dümmen Group B.V.
PP37064,Nectarine tree named ‘Mike's Fire’,2025,plant,1,,"Lacey Marie Gardner,Tracee Louise Bettencourt",US,
PP37065,Ficus plant named ‘ESPE2006’,2025,plant,1,,Jan van Geest,NL,J. VAN GEEST HOLDING B.V.
PP37066,Thuja plant named ‘RutThu6’,2025,plant,1,,John M. Ruter,US,"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC."
PP37067,Cercidiphyllum plant named ‘JWW11’,2025,plant,1,,"Jan-Willem Wezelenburg, Jr.",NL,JAN-WILLEM WEZELENBURG BOSKOOP B.V.
PP37068,Cornus plant named ‘Rutstar’,2025,plant,1,,"John M. Capik,Thomas J. Molnar",US,"Rutgers, The State University of New Jersey"
PP37069,Paxistima plant named ‘Paxsid1’,2025,plant,1,,Gurjit Sidhu,CA,
PP37070,Hydrangea plant named ‘GRHYAR2008’,2025,plant,1,,Guido Rouwette,NL,
PP37071,Petunia plant named ‘Keipebbcmam’,2025,plant,1,,"Rieko Suwa,Susumu Matsubara",JP,KEISEI ROSE NURSERIES INC.
PP37074,Philodendron plant named ‘HUTAPD75’,2025,plant,1,,"Le Tuan Anh,Pham Ngoc Hung",VN,Huta Green Company Limited
PP37075,Calibrachoa plant named ‘Docalalhoco 25’,2025,plant,1,,Arjan Koot,NL,Dümmen Group B.V.
PP37077,Salvia plant named ‘DH003’,2025,plant,1,,Nicholas A. Boynton-Steele,US,Desert Honed LLC
PP37078,Rosa plant named ‘ESM R896’,2025,plant,1,,Maria Elena Guerrero,EC,"GENVIV HOLDINGS, LLC"
PP37079,Climbing rose plant named ‘ALTenglanda’,2025,plant,1,,Peter Lim,US,Altman Specialty Plants llc
PP37081,Grapevine plant named ‘SUGRA70’,2025,plant,1,,"Terry A. Bacon,Terrence J. Frett",US,"Sun World International, LLC"
PP37085,Clematis plant named ‘EviGsy154’,2025,plant,1,,Raymond J. Evison,GB,RAYMOND J. EVISON LTD.
PP37086,Chrysanthemum plant named ‘CIFZ0119’,2025,plant,1,,Wendy R. Bergman,US,Syngenta Crop Protection AG
PP37087,Chrysanthemum plant named ‘CIFZ0114’,2025,plant,1,,Mark A. Smith,CA,Syngenta Crop Protection AG
PP37088,Euphorbia plant named ‘BONPRI 16P5’,2025,plant,1,,Andrew Bernuetz,AU,"BONZA BOTANICALS PTY, LTD."
PP37089,Hemerocallis plant named ‘G221407’,2025,plant,1,,Richard A. Grazzini,US,Garden Genetics
PP37090,Plum tree named ‘SUPLUM65’,2025,plant,1,,"Terry A. Bacon,Terrence J. Frett",US,"Sun World International, LLC"
PP37094,Alocasia plant named ‘HUTAAL29’,2025,plant,1,,"Le Tuan Anh,Pham Ngoc Hung",VN,Huta Green Company Limited
PP37095,Philodendron plant named ‘RCM2’,2025,plant,1,,Marian W. Osiecki,US,"Oglesby Plants International, Inc."
PP37097,Floribunda shrub rose named ‘ALTsky’,2025,plant,1,,Peter Lim,US,Altman Specialty Plants llc
PP37100,Hibiscus plant named ‘ALTbigbird’,2025,plant,1,,Peter Lim,US,Altman Specialty Plants llc
PP37101,Dracaena plant named ‘Janet Lindo Gold’,2025,plant,1,,"Joost Vermeulen,Mathijs Vermeulen",BE,Vermeulen NV
PP37102,Delphinium plant named ‘Violets Are Blue’,2025,plant,1,,Katrina Hindmarsh,NZ,
PP37103,Garden culinary Salvia plant named ‘G22088’,2025,plant,1,,Richard A. Grazzini,US,Garden Genetics
PP37104,Peach tree named ‘TRH1A95’,2025,plant,1,,"David H. Byrne,Natalie Anderson",US,THE TEXAS A&M UNIVERSITY SYSTEM
PP37105,Hydrangea plant named ‘LC NO25’,2025,plant,1,,Alex Frederick Schoemaker,NL,Alex Schoemaker Living Creations Holding B.V.
PP37106,Hydrangea plant named ‘WNHYDFBLAMH’,2025,plant,1,,Ushio Sakazaki,JP,WinGen LLC
PP37107,Hydrangea plant named ‘RNR X AS-01-22’,2025,plant,1,,"Jeff Beasley,Mark Griffith,Michael A. Dirr",US,Premier Introductions Inc.
PP37109,Sweetpotato plant named ‘NCORNSP-034SCVPG’,2025,plant,1,,"Christopher Heim,George Craig Yencho,Kenneth Vincent Pecota",US,NORTH CAROLINA STATE UNIVERSITY
PP37111,Pelargonium plant named ‘KLEPZ24874’,2025,plant,1,,Nina Neu,DE,Klemm + Sohn Gmbh & Co. KG
PP37114,Grapevine named ‘SV33-82-49’,2025,plant,1,,Timothy F. Bourne,US,"Sunview Vineyards of California, Inc."
PP37115,Distylium plant named ‘ZhDis12-16’,2025,plant,1,,Donglin Zhang,US,"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC."
PP37116,Buddleia plant named ‘Cherry Royale’,2025,plant,1,,Hans A Hansen,US,"Walters Gardens, Inc."
PP37117,Allium plant named ‘All the Buzz’,2025,plant,1,,Hans A Hansen,US,"Walters Gardens, Inc."
PP37118,Dianthus plant named ‘KLEDG27706’,2025,plant,1,,Judith Rupp,DE,Klemm + Sohn Gmbh & Co. KG
PP37119,Alstroemeria plant named ‘TURCAL211’,2025,plant,1,,Mathieu Vele,FR,
PP37121,Pelargonium plant named ‘KLEPZ24880’,2025,plant,1,,Nina Neu,DE,Klemm + Sohn Gmbh & Co. KG
PP37122,Agapanthus plant named ‘ALTsilverado’,2025,plant,1,,Peter Lim,US,Altman Specialty Plants llc
PP37125,Mandarin plant named ‘Mikanken14’,2025,plant,1,,"Daijiro Sugawara,Haruhito Nakata,Hiroaki Mido,Hiromichi Yakushiji,Kei Kinoshita,Mitsutoshi Okamoto,Saki Miyoshi,Saki Yamamoto,Takehiro Kikuchi,Taizo Ninomiya,Takehiro Okusada,Takae Sakimoto,Toya Hioki,Yasuyuki Masamoto,Yoji Hyodo,Yukinori Shigematsu",JP,EHIME PREFECTURE
PP37126,Rubus plant named ‘BWPRASP03’,2025,plant,1,,"Dulce Coelho,Graham Clarkson","PT,GB",BERRYWORLD PLUS LIMITED.
PP37127,Grapevine plant named ‘SV36-47-269’,2025,plant,1,,Timothy F. Bourne,US,"Sunview Vineyards of California, Inc."
PP37128,Grapevine plant named ‘SV34-130-197’,2025,plant,1,,Timothy F. Bourne,US,"Sunview Vineyards of California, Inc."
PP37129,Deutzia plant named ‘LISSTODEL’,2025,plant,1,,Vincent Catt,GB,
PP37131,Poinsettia plant named ‘Doeupfayul’,2025,plant,1,,Ruth Kobayashi,US,Dümmen Group B.V.
PP37132,Alstroemeria plant named ‘TURCAL209’,2025,plant,1,,Mathieu Vele,FR,"Ernest Turc S.A.S,Pierre Turc S.A.R.L."
PP37134,Dahlia plant named ‘DDAHCHPRPL’,2025,plant,1,,Ans van Haaster,NL,
PP37135,Dahlia plant named ‘LeeAnn's FD43C’,2025,plant,1,,LeeAnn Huber,US,Coseytown Flowers llc
PP37137,Lomandra plant named ‘LM380’,2025,plant,1,,Todd Anthony Layt,AU,
PP37138,Colocasia plant named ‘Hawaiian Luau’,2025,plant,1,,John J. Cho,US,
PP37139,Dracaena plant named ‘LULU’,2025,plant,1,,Julio Gamboa Ceciliano,CR,"Florica Farms, Inc."
PP37141,Calibrachoa plant named ‘DOCALRAIPIPEPBE25’,2025,plant,1,,Arjan Koot,NL,Dümmen Group B.V.
PP37142,Rudbeckia plant named ‘RUDBCHR650’,2025,plant,1,,Henricus Maria Joseph Holtmaat,NL,NOVA PERENNE BV
PP37143,Salvia plant named ‘DH002’,2025,plant,1,,Nicholas A. Boynton-Steele,US,Desert Honed LLC
PP37144,Sedum plant named ‘PPC093’,2025,plant,1,,Henricus Maria Joseph Holtmaat,NL,AB KWEKERSRECHTEN B.V.
PP37145,Sedum plant named ‘PPF095’,2025,plant,1,,Henricus Maria Joseph Holtmaat,NL,AB KWEKERSRECHTEN B.V.
PP37146,Grapevine named ‘SV36-19-424’,2025,plant,1,,Timothy F. Bourne,US,"Sunview Vineyards of California, Inc."
PP37147,Shrub rose plant named ‘AUSCP18729’,2025,plant,1,,Carl W. Bennett,GB,David Austin Roses Ltd.
PP37149,Floribunda rose plant named ‘ALTtiger’,2025,plant,1,,Peter Lim,US,Altman Specialty Plants llc
PP37153,Laurel plant named ‘GREAWL’,2025,plant,1,,Harry Joe Smutzer,US,GREENLEAF NURSERY CO.
PP37154,Hop plant named ‘NZH-2077’,2025,plant,1,,Ronald Alan Beatson,NZ,NEW ZEALAND HOPS LIMITED
PP37155,Hibiscus plant named ‘ALTbirdy’,2025,plant,1,,Peter Lim,US,Altman Specialty Plants llc
PP37156,Baptisia plant named ‘Golden Anniversary’,2025,plant,1,,Hans A Hansen,US,"Walters Gardens, Inc."
PP37159,Chrysanthemum plant named ‘CIFZ0117’,2025,plant,1,,Mark A. Smith,CA,Syngenta Crop Protection AG
PP37161,Calathea plant named ‘HGV23’,2025,plant,1,,Oscar Valstar,NL,Gebr. Valstar Beheer B.V.
PP37163,Salvia plant named ‘Ignition Orange’,2025,plant,1,,Kermit E. Carter,US,
PP37164,Berberis plant named ‘NCBX3’,2025,plant,1,,"Andra Windorf Nus,Irene Palmer,John Tyler Nix,Nathan P. Lynch,Thomas Green Ranney",US,NORTH CAROLINA STATE UNIVERSITY
PP37165,Berberis plant named ‘NCBT4’,2025,plant,1,,"Andra Windorf Nus,Irene Palmer,John Tyler Nix,Nathan P. Lynch,Thomas Green Ranney",US,NORTH CAROLINA STATE UNIVERSITY
PP37166,Petunia plant named ‘KLEPH24698’,2025,plant,1,,Antonella Capo,IT,Klemm + Sohn Gmbh & Co. KG
PP37167,Petunia plant named ‘KLEPH24734’,2025,plant,1,,Antonella Capo,IT,Klemm + Sohn Gmbh & Co. KG
PP37168,Petunia plant named ‘KLEPH24743’,2025,plant,1,,Antonella Capo,IT,Klemm + Sohn Gmbh & Co. KG
PP37170,Citrus l. plant named ‘HAYASE’,2025,plant,1,,"Atsushi Imai,Ayami Hisanaga,Hiroshi Fukamachi,Hiroko Hamada,Keisuke Nonaka,Naofumi Hiehata,Ryoji Matsumoto,Satoshi Ota,Shingo Goto,Takeshi Kuniga,Terutaka Yoshioka,Toshio Takahara,Tomoaki Watanabe","JP,Unknown",NATIONAL AGRICULTURE AND FOOD RESEARCH ORGANIZATION
PP37171,Grapevine named ‘SV34-161-275’,2025,plant,1,,Timothy F. Bourne,US,"Sunview Vineyards of California, Inc."
PP37172,Muscadine grape plant named ‘USDA-ARS-Bertha Mae’,2025,plant,1,,Stephen J. Stringer,US,"The United States of America, as represented by the Secretary of Agriculture"
PP37173,Hop plant named ‘NZH-3077’,2025,plant,1,,Ronald Alan Beatson,NZ,NEW ZEALAND HOPS LIMITED
PP37174,Buddleja plant named ‘SFF22-053’,2025,plant,1,,Scott C. Trees,US,"Sunrise Farm Flowers, LLC"
PP37176,Petunia plant named ‘KLEPH24827’,2025,plant,1,,Antonella Capo,IT,Klemm + Sohn Gmbh & Co. KG
PP37177,Petunia plant named ‘KLEPH24833’,2025,plant,1,,Antonella Capo,IT,Klemm + Sohn Gmbh & Co. KG
PP37178,Aristeria plant named ‘D GREY MOON’,2025,plant,1,,Javier Jimenez,ES,DeltaCactus S.L.
PP37179,Mentha plant named ‘Allmefreshimp’,2025,plant,1,,Wilhelmus T. J. van den Hoogen,NL,ALLPLANTS HOLDING B.V.
PP37180,Aglaonema plant named ‘MUKSTIL’,2025,plant,1,,Parthasarathy Mukundan,IN,
PP37181,Kalanchoe plant named ‘KLEKB24053’,2025,plant,1,,Huijuan Guo,DE,Klemm + Sohn Gmbh & Co. KG
PP37183,Blueberry plant named ‘FV2401’,2025,plant,1,,Niels Arts,NL,FV B.V.
PP37184,Fragaria plant named ‘Eves Gloria’,2025,plant,1,,Graham Clarkson,GB,EDWARD VINSON LTD.
PP37186,Echeveria plant named ‘OVPEARLS16’,2025,plant,1,,Johannes Hendrikus Adrianus Ammerlaan,NL,Ovata B.V.
PP37187,Epimedium plant named ‘Jester's Hat’,2025,plant,1,,Hans A Hansen,US,"Walters Gardens, Inc."
RE50605,Combined bird feeder with camera,2025,reissue,1,223.0,ZhenXuan Guan,CN,"NETVUE TECHNOLOGIES CO., LTD."
RE50628,Combined bird feeder with camera,2025,reissue,1,,ZhenXuan Guan,CN,"NETVUE TECHNOLOGIES CO., LTD."
RE50659,Flat hair clip,2025,reissue,1,,Lindsay Muscato,US,"Teleties, LLC"
RE50671,Office chair,2025,reissue,1,,Yong Li,CN,
